class,annotations,images,avg_bbox_area_px,avg_bbox_area_norm,min_bbox_area_px,max_bbox_area_px,avg_aspect_ratio
clefC,73718,38246,3127.859233837055,0.0005351748071931101,1666.0,4590.0,0.6385290775841237
accidentalDoubleSharp,71776,6359,317.71394337940256,5.664552166407071e-05,72.0,588.0,0.932900426699874
clefCAlto,66995,37449,3133.5003209194715,0.0005356232899970402,1666.0,4590.0,0.6385379792623005
numeral2,63558,11230,513.758881651405,8.824102828895741e-05,10.0,9315.0,0.6722186909754325
timeSig3,56882,14114,632.6952287191027,0.00010663580593094214,468.0,19400.0,0.6323265979220541
articulationTenuto,50399,5149,52.67205698525765,9.195236442124149e-06,1.0,168.0,11.447273660948012
keyNatural,49538,6322,584.0384553272236,9.731728532684382e-05,430.0,949.0,0.22440936919922702
restHBar,48118,3300,39206.6048879837,0.005157451923521615,4576.0,89991.0,38.118414941425456
keyboardPedalUp,46230,4906,2653.783755137357,0.0004823141316622446,575.0,4802.0,2.2154420628544216
timeSig2,43467,9811,663.4356638369337,0.00011349842216534523,520.0,9315.0,0.6699451360142769
flag32ndDown,38886,2920,1063.344751324384,0.00017912533218828255,546.0,1587.0,0.2813391665969959
numeral1,31214,3534,281.41132184276285,4.878830291987812e-05,3.0,9594.0,0.5599271384341614
timeSig8,30592,6541,696.5539683577406,0.00011730251903652666,520.0,8964.0,0.7004804940222094
articTenutoAbove,30292,4307,52.7460715700515,9.115673189963082e-06,1.0,168.0,11.406863276804627
flag32ndUp,27158,3055,945.2457471095073,0.0001608956054471819,296.0,1431.0,0.2270370235307381
arpeggiato,24323,5076,586.6989680549275,0.00011264301174138702,84.0,5750.0,0.1993844808363277
arpeggio,24323,5076,586.6989680549275,0.00011264301174138702,84.0,5750.0,0.1993844808363277
ornamentTrill,23570,4560,893.9176071277047,0.0001549820152716136,323.0,1404.0,1.0730055570115775
articMarcatoAbove,22795,2897,296.13051107699056,4.9806163134296474e-05,3.0,10396.0,0.8223927676151166
articulationMarcatoAbove,22795,2897,296.13051107699056,4.9806163134296474e-05,3.0,10396.0,0.8223927676151166
numeral6,22319,4821,657.6178144182087,0.00010994705072850612,532.0,8052.0,0.6679843515648537
timeSig6,22319,4821,657.6178144182087,0.00010994705072850612,532.0,8052.0,0.6679843515648537
fingering1,21287,1689,157.69554188002067,2.7600968275095618e-05,3.0,216.0,0.5630268669961825
articTenutoBelow,20107,2925,52.56055105187248,9.315101664897761e-06,1.0,168.0,11.508153521517116
fingering2,20091,1629,189.9322582250759,3.359650389371867e-05,10.0,234.0,0.6771375408832357
fingering3,18301,1620,179.6774493197093,3.176274680601766e-05,14.0,220.0,0.6352203848748776
numeral5,15681,2103,473.515337032077,7.484725702972156e-05,66.0,792.0,0.6594793902568548
fingering4,15380,1569,213.9254876462939,3.755287309918489e-05,4.0,273.0,0.7645053667620602
caesura,14753,4011,162.26116722022638,2.925134040575918e-05,48.0,276.0,0.43766834864042614
tuplet6,14622,1709,295.27745862399127,5.440580917933358e-05,22.0,8190.0,0.6694064813109
articulationMarcatoBelow,14060,1601,292.59850640113797,4.8532222574648974e-05,84.0,432.0,0.820594645107414
articMarcatoBelow,14060,1601,292.59850640113797,4.8532222574648974e-05,84.0,432.0,0.820594645107414
articStaccatissimoAbove,11193,1072,83.86205664254445,1.3768732989181546e-05,40.0,126.0,0.4099421281303373
keyboardPedalPed,10415,2904,2022.201056168987,0.00034812250466450644,1581.0,3220.0,1.6938630151838279
timeSig1,9927,1875,546.701722574796,9.422144410890153e-05,390.0,9594.0,0.5532802237672669
flag64thDown,9762,1168,1240.3374308543332,0.00020179604411447134,804.0,1638.0,0.23523481538808438
timeSig5,9725,1295,651.1528020565553,0.0001016393640409001,486.0,792.0,0.6614683089142357
tuple,9629,2424,327.1826773289023,5.614039292470278e-05,105.0,3296.0,0.7276828100671615
fermataBelow,9564,3152,923.67252195734,0.00015879280498671378,330.0,1170.0,1.5924533365469504
dynamicLetterS,9449,1851,252.9831728225209,4.253812603256147e-05,150.0,403.0,0.6729589667831619
dynamicS,9449,1851,252.9831728225209,4.253812603256147e-05,150.0,403.0,0.6729589667831619
timeSigCutCommon,8550,1220,1909.0720467836256,0.00032074327285965324,1215.0,4089.0,0.5879604612956496
flag64thUp,7646,965,1186.145697096521,0.00020430427719761392,441.0,1647.0,0.18343741304021888
numeral0,7181,792,230.9973541289514,4.203617688581335e-05,12.0,792.0,0.7322826531531214
stringsDownBow,6881,1295,528.9267548321465,9.019475286917656e-05,418.0,744.0,1.1360992212136314
clef15,6822,4246,399.87203166226914,6.706869916908519e-05,247.0,2450.0,1.5616413420903614
fingering0,6796,732,204.66068275456152,3.7328205855966854e-05,12.0,234.0,0.7333593318168945
stringsUpBow,6765,1420,579.8202512934221,0.00010040385278297765,168.0,912.0,0.5579674532616881
clefCTenor,6723,2926,3071.645545143537,0.0005307056557064808,1666.0,4590.0,0.6384403719578031
ottavaBracket,6518,3697,4451.342743172752,0.0007696481727051627,6.0,28935.0,485.27608724293435
fingering5,5956,813,183.4675957018133,3.1100910373622174e-05,66.0,234.0,0.6562318694470795
accidentalDoubleFlat,5566,849,1103.4599353215954,0.0001819724012747409,897.0,1320.0,0.6366949564355516
rest128th,4214,771,2596.593735168486,0.0004775886634754376,272.0,3312.0,0.31745754647133256
timeSig9,3257,756,659.6499846484495,0.00011166860183294759,532.0,798.0,0.6698361367367051
numeral9,3257,756,659.6499846484495,0.00011166860183294759,532.0,798.0,0.6698361367367051
articStaccatissimoBelow,3090,435,89.31132686084142,1.4328221839500378e-05,45.0,144.0,0.430847490337785
tuplet5,2687,894,300.8098250837365,4.582996855110762e-05,231.0,550.0,0.6811371129693081
numeral7,2521,505,656.9650932169774,0.00011156657336598007,540.0,792.0,0.6699091232654957
timeSig7,2521,505,656.9650932169774,0.00011156657336598007,540.0,792.0,0.6699091232654957
tuplet2,2313,462,313.37916126242976,5.6098370975947075e-05,240.0,3296.0,0.6594926024834207
tuplet4,2260,610,348.7097345132743,6.422554371987563e-05,210.0,2373.0,0.7842646460333098
noteheadDoubleWholeOnLine,2129,419,1066.622357914514,0.00018512016926709065,558.0,1550.0,1.5826644265529144
ornamentMordent,1910,706,797.0879581151833,0.00014083379903197295,378.0,1053.0,1.5855672968683703
segno,1880,865,3403.923404255319,0.0006087957623297974,1520.0,8424.0,0.7646070270362162
noteheadDoubleWholeInSpace,1840,413,1059.379347826087,0.00018162571399620256,527.0,1550.0,1.5935598866680032
dynamicLetterZ,1815,618,326.5426997245179,5.426084828174254e-05,182.0,546.0,0.9888280928815614
dynamicZ,1815,618,326.5426997245179,5.426084828174254e-05,182.0,546.0,0.9888280928815614
clefUnpitchedPercussion,1558,998,795.3620025673941,0.00011560379542163646,576.0,1350.0,0.5999151770936773
tuplet7,1124,410,305.9590747330961,5.035136441076922e-05,105.0,1050.0,0.6949989487454087
coda,930,455,3645.262365591398,0.0006569821442258294,1620.0,8798.0,0.7876320207231198
ornamentTurn,845,440,593.0520710059171,0.00011305034834701127,403.0,738.0,2.2277502648760796
flag128thDown,786,233,1602.7226463104325,0.0002939138456812312,1020.0,2472.0,0.1932581951188827
tuplet9,769,288,322.1638491547464,5.743128232171927e-05,273.0,550.0,0.7267323054059079
restDoubleWhole,733,108,175.40381991814462,3.0361624244575742e-05,104.0,616.0,0.6829074346666087
flag128thUp,610,161,1444.244262295082,0.000265822264609484,1008.0,1800.0,0.15253845897346602
timeSig0,385,65,695.8909090909091,0.00012514103693472768,560.0,792.0,0.7132771773114304
tuplet1,305,95,612.1672131147541,0.00010701524124470931,546.0,1176.0,1.3881342701014856
tuplet8,171,102,297.56140350877195,5.336970069095179e-05,294.0,462.0,0.6747424115845182
ornamentTurnInverted,150,110,677.5533333333333,0.00011892167071811066,434.0,1040.0,2.072149099810864
dynamicR,35,20,293.57142857142856,4.778631794769528e-05,182.0,380.0,0.9390243871628119
dynamicLetterR,35,20,293.57142857142856,4.778631794769528e-05,182.0,380.0,0.9390243871628119
